Nombre,Tipo de dato,Default Task,Atributos,Instancias,Numero de atributos
Vicon Physical Action Data Set,Time-Series ,Classification ,Real ,3000 ,27 
Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory ",Classification ,Real ,1500 ,10000 
Amazon Access Samples,"Time-Series, Domain-Theory ","Regression, Clustering, Causal-Discovery ", ,30000 ,20000 
Reuter_50_50,"Multivariate, Text, Domain-Theory ","Classification, Clustering ",Real ,2500 ,10000 
Farm Ads,Text ,Classification , ,4143 ,54877 
DBWorld e-mails,Text ,Classification , ,64 ,4702 
KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text ","Classification, Regression, Clustering ","Integer, Real ",53414 ,24 
KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text ","Classification, Regression, Clustering ","Integer, Real ",65554 ,29 
Bank Marketing,Multivariate ,Classification ,Real ,45211 ,17 
YouTube Comedy Slam Preference Data,Text ,Classification , ,1138562 ,3 
Gas Sensor Array Drift Dataset,Multivariate ,Classification ,Real ,13910 ,128 
ILPD (Indian Liver Patient Dataset),Multivariate ,Classification ,"Integer, Real ",583 ,10 
OPPORTUNITY Activity Recognition,"Multivariate, Time-Series ",Classification ,Real ,2551 ,242 
Nomao,Univariate ,Classification ,Real ,34465 ,120 
SMS Spam Collection,"Multivariate, Text, Domain-Theory ","Classification, Clustering ",Real ,5574 , 
Skin Segmentation,Univariate ,Classification ,Real ,245057 ,4 
Planning Relax,Univariate ,Classification ,Real ,182 ,13 
PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series ",Classification ,Real ,3850505 ,52 
Restaurant & consumer data,Multivariate , , ,138 ,47 
CNAE-9,"Multivariate, Text ",Classification ,Integer ,1080 ,857 
Individual household electric power consumption,"Multivariate, Time-Series ","Regression, Clustering ",Real ,2075259 ,9 
seeds,Multivariate ,"Classification, Clustering ",Real ,210 ,7 
Northix,"Multivariate, Univariate, Text ",Classification ,"Integer, Real ",115 ,200 
QtyT40I10D100K,Sequential , ,Integer ,3960456 ,4 
Legal Case Reports,Text ,Classification , , , 
Human Activity Recognition Using Smartphones,"Multivariate, Time-Series ","Classification, Clustering ", ,10299 ,561 
One-hundred plant species leaves data set, ,Classification ,Real ,1600 ,64 
Energy efficiency,Multivariate ,"Classification, Regression ","Integer, Real ",768 ,8 
Yacht Hydrodynamics,Multivariate ,Regression ,Real ,308 ,7 
Fertility,Multivariate ,"Classification, Regression ",Real ,100 ,10 
Daphnet Freezing of Gait,"Multivariate, Time-Series ",Classification ,Real ,237 ,9 
"3D Road Network (North Jutland, Denmark)","Sequential, Text ","Regression, Clustering ",Real ,434874 ,4 
ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series ","Classification, Regression ",Real ,536 ,8 
Buzz in social media ,"Time-Series, Multivariate ","Regression, Classification ","Integer, Real ",140000 ,77 
First-order theorem proving,Multivariate ,Classification ,Real ,6118 ,51 
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential ,Classification ,"Integer, Real ",165632 ,18 
Gas sensor arrays in open sampling settings,"Multivariate, Time-Series ",Classification ,Real ,18000 ,1950000 
Climate Model Simulation Crashes,Multivariate ,Classification ,Real ,540 ,18 
MicroMass,Multivariate ,Classification ,Real ,931 ,1300 
QSAR biodegradation,Multivariate ,Classification ,"Integer, Real ",1055 ,41 
BLOGGER,Multivariate ,Classification , ,100 ,6 
Daily and Sports Activities,"Multivariate, Time-Series ","Classification, Clustering ",Real ,9120 ,5625 
User Knowledge Modeling,Multivariate ,"Classification, Clustering ",Integer ,403 ,5 
"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate ,Classification ,Real ,111740 , 
NYSK,"Multivariate, Sequential, Text ",Clustering , ,10421 ,7 
Turkiye Student Evaluation,Multivariate ,"Classification, Clustering ", ,5820 ,33 
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate ,Classification ,Real ,403 ,5 
EEG Eye State,"Multivariate, Sequential, Time-Series ",Classification ,"Integer, Real ",14980 ,15 
Physicochemical Properties of Protein Tertiary Structure,Multivariate ,Regression ,Real ,45730 ,9 
seismic-bumps,Multivariate ,Classification ,Real ,2584 ,19 
banknote authentication,Multivariate ,Classification ,Real ,1372 ,5 
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat",Domain-Theory ,Classification ,Integer ,306 ,5 
YouTube Multiview Video Games Dataset,"Multivariate, Text ","Classification, Clustering ","Integer, Real ",120000 ,1000000 
Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series ","Classification, Regression, Clustering, Causa ",Real ,13910 ,129 
Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series ","Classification, Clustering ", ,2747 , 
SkillCraft1 Master Table Dataset,Multivariate ,Regression ,"Integer, Real ",3395 ,20 
Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate ,Classification ,Real ,39242 ,152 
SML2010,"Multivariate, Sequential, Time-Series, Text ",Regression ,Real ,4137 ,24 
Bike Sharing Dataset,Univariate ,Regression ,"Integer, Real ",17389 ,16 
Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series ", ,"Integer, Real ",51 ,35 
Thoracic Surgery Data,Multivariate ,Classification ,"Integer, Real ",470 ,17 
EMG dataset in Lower Limb,"Multivariate, Time-Series ", ,Real ,132 ,5 
SUSY, ,Classification ,Real ,5000000 ,18 
HIGGS, ,Classification ,Real ,11000000 ,28 
Qualitative_Bankruptcy,Multivariate ,Classification , ,250 ,7 
LSVT Voice Rehabilitation,Multivariate ,Classification ,Real ,126 ,309 
Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series ","Classification, Clustering ", , ,3 
Wilt,Multivariate ,Classification , ,4889 ,6 
User Identification From Walking Activity,"Univariate, Sequential, Time-Series ","Classification, Clustering ",Real , , 
Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series ","Classification, Clustering ",Real , , 
Leaf,Multivariate ,Classification ,Real ,340 ,16 
Dresses_Attribute_Sales,Text ,"Classification, Clustering ", ,501 ,13 
Tamilnadu Electricity Board Hourly Readings,Multivariate ,"Classification, Regression, Clustering ",Real ,45781 ,5 
Airfoil Self-Noise,Multivariate ,Regression ,Real ,1503 ,6 
Wholesale customers,Multivariate ,"Classification, Clustering ",Integer ,440 ,8 
Twitter Data set for Arabic Sentiment Analysis,Text ,Classification , ,2000 ,2 
Combined Cycle Power Plant,Multivariate ,Regression ,Real ,9568 ,4 
Urban Land Cover,Multivariate ,Classification , ,168 ,148 
Diabetes 130-US hospitals for years 1999-2008,Multivariate ,"Classification, Clustering ",Integer ,100000 ,55 
Bach Choral Harmony,Sequential ,Classification , ,5665 ,17 
StoneFlakes,Multivariate ,"Classification, Clustering, Causal-Discovery ",Real ,79 ,8 
Tennis Major Tournament Match Statistics,Multivariate ,"Classification, Regression, Clustering ","Integer, Real ",127 ,42 
Parkinson Speech Dataset with  Multiple Types of Sound Recordings,Multivariate ,"Classification, Regression ","Integer, Real ",1040 ,26 
Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",Real ,9900 ,50 
Perfume Data,"Univariate, Domain-Theory ","Classification, Clustering ",Integer ,560 ,2 
BlogFeedback,Multivariate ,Regression ,"Integer, Real ",60021 ,281 
REALDISP Activity Recognition Dataset,"Multivariate, Time-Series ",Classification ,Real ,1419 ,120 
Newspaper and magazine images segmentation dataset, ,Classification , ,101 , 
AAAI 2014 Accepted Papers,Multivariate ,Clustering , ,399 ,6 
Gas sensor array under flow modulation,"Multivariate, Time-Series ","Classification, Regression ",Real ,58 ,120432 
Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series ","Classification, Regression ",Real ,180 ,150000 
UJIIndoorLoc,Multivariate ,"Classification, Regression ","Integer, Real ",21048 ,529 
Sentence Classification,Text ,Classification ,Integer , , 
Dow Jones Index,Time-Series ,"Classification, Clustering ","Integer, Real ",750 ,16 
sEMG for Basic Hand movements,Time-Series ,Classification ,Real ,3000 ,2500 
AAAI 2013 Accepted Papers,Multivariate ,Clustering , ,150 ,5 
Geographical Original of Music,Multivariate ,"Classification, Regression ",Real ,1059 ,68 
Condition Based Maintenance of Naval Propulsion Plants,Multivariate ,Regression ,Real ,11934 ,16 
Grammatical Facial Expressions,"Multivariate, Sequential ","Classification, Clustering ",Real ,27965 ,100 
NoisyOffice,Multivariate ,"Classification, Regression ",Real ,216 ,216 
MHEALTH Dataset,"Multivariate, Time-Series ",Classification ,Real ,120 ,23 
Student Performance,Multivariate ,"Classification, Regression ",Integer ,649 ,33 
ElectricityLoadDiagrams20112014,Time-Series ,"Regression, Clustering ",Real ,370 ,140256 
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series ","Classification, Regression ",Real ,4178504 ,19 
microblogPCU,"Multivariate, Univariate, Sequential, Text ","Classification, Causal-Discovery ","Integer, Real ",221579 ,20 
Firm-Teacher_Clave-Direction_Classification,Multivariate ,Classification , ,10800 ,20 
Dataset for Sensorless Drive Diagnosis,Multivariate ,Classification ,Real ,58509 ,49 
TV News Channel Commercial Detection Dataset,Multivariate ,"Classification, Clustering ",Real ,129685 ,12 
Phishing Websites, ,Classification ,Integer ,2456 ,30 
Greenhouse Gas Observing Network,"Multivariate, Time-Series ",Regression ,Real ,2921 ,5232 
Diabetic Retinopathy Debrecen Data Set,Multivariate ,Classification ,"Integer, Real ",1151 ,20 
HIV-1 protease cleavage,Multivariate ,Classification ,Categorical ,6590 ,1 
Sentiment Labelled Sentences,Text ,Classification , ,3000 , 
Online News Popularity,Multivariate ,"Classification, Regression ","Integer, Real ",39797 ,61 
Forest type mapping,Multivariate ,Classification , ,326 ,27 
